LATITUDE,LONGITUDE,GRAINSIZE
48.44607,-124.99020,2.69544888
48.44630,-124.97668,2.13954043
48.44653,-124.96317,1.78081906
48.44676,-124.94965,0.86472881
48.44699,-124.93614,0.10335258
48.44722,-124.92262,-1.76421773
48.44744,-124.90911,0.63125908
48.44766,-124.89559,1.65564179
48.44789,-124.88207,2.80100155
48.44811,-124.86856,4.30360413
48.44833,-124.85504,4.81616926
48.44854,-124.84153,6.00931406
48.44876,-124.82801,5.14779043
48.44897,-124.81449,4.45075417
48.44918,-124.80098,4.01598644
48.44940,-124.78746,3.36184335
48.44960,-124.77394,4.36892271
48.44981,-124.76043,3.62928200
48.45002,-124.74691,2.29709148
48.45022,-124.73339,1.75287569
48.45043,-124.71987,1.34611738
48.45063,-124.70636,0.87154430
48.45083,-124.69284,0.55211991
48.45102,-124.67932,0.61285019
48.45122,-124.66580,0.67689669
48.45142,-124.65228,0.70187736
48.45161,-124.63876,1.20791507
48.45180,-124.62525,1.37943900
48.45199,-124.61173,1.68605828
48.45218,-124.59821,2.06693625
48.45237,-124.58469,2.53890181
48.45255,-124.57117,2.53089070
48.45274,-124.55765,2.51748109
48.45292,-124.54413,2.58804393
48.45310,-124.53061,2.68432331
48.45328,-124.51709,2.85588288
48.45346,-124.50357,2.85842538
48.45363,-124.49005,2.79282975
48.43365,-125.17900,3.47458982
48.43390,-125.16549,3.43315101
48.43416,-125.15198,2.58961868
48.43441,-125.13847,2.03388238
48.43466,-125.12496,1.99852896
48.43491,-125.11145,1.79405773
48.43516,-125.09793,1.38633907
48.43540,-125.08442,2.32328486
48.43564,-125.07091,2.73701429
48.43589,-125.05740,3.02191830
48.43613,-125.04389,3.05311227
48.43637,-125.03038,3.87336540
48.43661,-125.01687,4.35033560
48.43684,-125.00336,3.97552800
48.43708,-124.98984,4.07532835
48.43731,-124.97633,2.75906587
48.43754,-124.96282,1.99746323
48.43777,-124.94931,0.85785961
48.43800,-124.93579,-0.00931092
48.43822,-124.92228,-0.01977567
48.43845,-124.90877,1.47154474
48.43867,-124.89526,2.04931736
48.43889,-124.88174,2.65014124
48.43912,-124.86823,3.70350146
48.43933,-124.85471,4.91582108
48.43955,-124.84120,5.84262848
48.43977,-124.82769,5.15872288
48.43998,-124.81417,4.37020922
48.44019,-124.80066,3.27380514
48.44040,-124.78714,2.66506720
48.44061,-124.77363,3.40894008
48.44082,-124.76011,3.03256869
48.44103,-124.74660,2.24644494
48.44123,-124.73308,1.42545784
48.44143,-124.71957,0.57472205
48.44163,-124.70605,0.33511794
48.44183,-124.69254,0.14600950
48.44203,-124.67902,-0.21877302
48.44223,-124.66551,-0.04563953
48.44242,-124.65199,0.14268357
48.44262,-124.63847,0.46800622
48.44281,-124.62496,1.01747024
48.44300,-124.61144,1.29560757
48.44319,-124.59793,1.85514569
48.44337,-124.58441,2.73322654
48.44356,-124.57089,2.50541735
48.44374,-124.55738,2.38164735
48.44393,-124.54386,2.44653177
48.44411,-124.53034,2.41311121
48.44428,-124.51682,2.78156400
48.44446,-124.50331,2.73282599
48.44464,-124.48979,2.62110066
48.44481,-124.47627,2.57263589
48.44498,-124.46275,2.87663031
48.44516,-124.44924,2.92373371
48.42414,-125.20562,5.05046749
48.42440,-125.19212,4.02133512
48.42466,-125.17861,3.46784902
48.42491,-125.16510,3.40489721
48.42517,-125.15160,2.69388556
48.42542,-125.13809,1.93177247
48.42567,-125.12458,1.94892383
48.42592,-125.11107,1.77839768
48.42616,-125.09756,1.38127756
48.42641,-125.08406,1.34785330
48.42665,-125.07055,2.51143909
48.42690,-125.05704,2.94200444
48.42714,-125.04353,3.06299877
48.42738,-125.03002,4.12213802
48.42761,-125.01651,4.15691090
48.42785,-125.00300,5.07128239
48.42808,-124.98949,4.56688595
48.42832,-124.97598,3.86534739
48.42855,-124.96247,2.99727321
48.42878,-124.94896,2.30270243
48.42901,-124.93545,1.40627253
48.42923,-124.92194,2.08026552
48.42946,-124.90843,2.88816738
48.42968,-124.89492,3.54056263
48.42990,-124.88141,4.14066505
48.43012,-124.86790,4.39520788
48.43034,-124.85439,5.26864147
48.43056,-124.84088,6.08241320
48.43077,-124.82736,4.97846794
48.43099,-124.81385,4.54541206
48.43120,-124.80034,3.66953087
48.43141,-124.78683,2.98938346
48.43162,-124.77332,2.91768360
48.43183,-124.75980,1.81274891
48.43203,-124.74629,1.68173444
48.43224,-124.73278,1.05516779
48.43244,-124.71927,-0.00059981
48.43264,-124.70575,-0.26981401
48.43284,-124.69224,-1.09387577
48.43304,-124.67873,-0.98685700
48.43324,-124.66521,-0.70584500
48.43343,-124.65170,-0.87660253
48.43362,-124.63819,-0.47726640
48.43382,-124.62467,0.27382129
48.43401,-124.61116,0.83729833
48.43419,-124.59764,1.54185605
48.43438,-124.58413,2.35391426
48.43457,-124.57062,2.36802411
48.43475,-124.55710,2.20285177
48.43493,-124.54359,2.01696014
48.43511,-124.53007,2.67960310
48.43529,-124.51656,2.72383881
48.43547,-124.50304,2.78496671
48.43564,-124.48953,2.79325128
48.43582,-124.47601,2.74179411
48.43599,-124.46249,2.73455572
48.43616,-124.44898,2.98010230
48.43633,-124.43546,3.08579707
48.43650,-124.42195,2.98891211
48.43667,-124.40843,2.99146032
48.41489,-125.21874,4.79337502
48.41515,-125.20524,5.25871515
48.41541,-125.19173,4.20062637
48.41567,-125.17823,3.46740723
48.41592,-125.16472,3.36109161
48.41618,-125.15122,2.66250372
48.41643,-125.13771,1.94749784
48.41668,-125.12421,1.95417821
48.41693,-125.11070,1.60870254
48.41717,-125.09719,1.37513685
48.41742,-125.08369,1.32450449
48.41766,-125.07018,2.35519147
48.41791,-125.05668,2.78431726
48.41815,-125.04317,3.03312731
48.41839,-125.02966,3.72298956
48.41862,-125.01616,4.06982565
48.41886,-125.00265,5.05073309
48.41909,-124.98914,5.31491756
48.41933,-124.97563,4.77710390
48.41956,-124.96213,5.46481037
48.41979,-124.94862,3.18238974
48.42002,-124.93511,2.71948004
48.42024,-124.92160,2.95718145
48.42047,-124.90809,3.66154456
48.42069,-124.89459,5.08169174
48.42091,-124.88108,5.42495823
48.42113,-124.86757,5.55302334
48.42135,-124.85406,5.46933508
48.42157,-124.84055,5.36932755
48.42178,-124.82704,4.66057348
48.42200,-124.81353,4.54802084
48.42221,-124.80002,3.79658151
48.42242,-124.78651,2.87035823
48.42263,-124.77300,1.94151068
48.42284,-124.75949,1.77623165
48.42304,-124.74598,0.99626690
48.42325,-124.73247,0.43505803
48.42345,-124.71896,-0.36741540
48.42365,-124.70545,-1.26591289
48.42385,-124.69194,-1.55207622
48.42405,-124.67843,-1.93230116
48.42424,-124.66492,-1.68316185
48.42444,-124.65141,-1.88968730
48.42463,-124.63790,-1.92789054
48.42482,-124.62439,-0.53068787
48.42501,-124.61087,0.21814872
48.42520,-124.59736,1.15634584
48.42539,-124.58385,1.69330633
48.42557,-124.57034,1.68750179
48.42576,-124.55683,1.70188010
48.42594,-124.54331,1.86538672
48.42612,-124.52980,2.31008053
48.42630,-124.51629,2.66491842
48.42648,-124.50278,2.92328477
48.42665,-124.48926,2.93383527
48.42683,-124.47575,2.85949302
48.42700,-124.46224,2.82271862
48.42717,-124.44872,2.97771502
48.42734,-124.43521,3.12327242
48.42751,-124.42170,2.97444105
48.42767,-124.40818,2.93799162
48.42784,-124.39467,3.07518363
48.42800,-124.38116,3.18630505
48.42816,-124.36764,3.24289036
48.42832,-124.35413,3.28890800
48.40538,-125.24535,5.17603970
48.40564,-125.23185,4.71459866
48.40590,-125.21835,4.91382360
48.40616,-125.20485,5.34065723
